Major,Year,Term,Course Name
Computer Science + Astronomy,First Year,First Semester,ELECTIVE
Computer Science + Astronomy,First Year,Second Semester,CS 128
Computer Science + Astronomy,First Year,First Semester,CS 100
Computer Science + Astronomy,First Year,Second Semester,CS 173
Computer Science + Astronomy,First Year,First Semester,CS 124
Computer Science + Astronomy,First Year,Second Semester,MATH 231
Computer Science + Astronomy,First Year,First Semester,MATH 220
Computer Science + Astronomy,First Year,Second Semester,PHYS 211
Computer Science + Astronomy,First Year,First Semester,GENED
Computer Science + Astronomy,First Year,Second Semester,GENED
Computer Science + Astronomy,Second Year,First Semester,ASTR 210
Computer Science + Astronomy,Second Year,Second Semester,CS 340
Computer Science + Astronomy,Second Year,First Semester,CS 222
Computer Science + Astronomy,Second Year,Second Semester,MATH 241
Computer Science + Astronomy,Second Year,First Semester,CS 225
Computer Science + Astronomy,Second Year,Second Semester,PHYS 212
Computer Science + Astronomy,Second Year,First Semester,MATH 257
Computer Science + Astronomy,Second Year,Second Semester,GENED
Computer Science + Astronomy,Second Year,First Semester,GENED
Computer Science + Astronomy,Third Year,First Semester,ASTR 310
Computer Science + Astronomy,Third Year,Second Semester,ASTR 404
Computer Science + Astronomy,Third Year,First Semester,CS 361
Computer Science + Astronomy,Third Year,Second Semester,CS 421
Computer Science + Astronomy,Third Year,First Semester,CS 374
Computer Science + Astronomy,Third Year,Second Semester,GENED
Computer Science + Astronomy,Third Year,First Semester,GENED
Computer Science + Astronomy,Third Year,Second Semester,GENED
Computer Science + Astronomy,Third Year,First Semester,GENED
Computer Science + Astronomy,Third Year,Second Semester,ELECTIVE
Computer Science + Astronomy,Fourth Year,First Semester,ASTR 404
Computer Science + Astronomy,Fourth Year,Second Semester,ASTR_ELECTIVE
Computer Science + Astronomy,Fourth Year,First Semester,CS_ELECTIVE
Computer Science + Astronomy,Fourth Year,Second Semester,CS_ELECTIVE
Computer Science + Astronomy,Fourth Year,First Semester,GENED
Computer Science + Astronomy,Fourth Year,Second Semester,GENED
Computer Science + Astronomy,Fourth Year,First Semester,GENED
Computer Science + Astronomy,Fourth Year,Second Semester,ELECTIVE
Computer Science + Astronomy,Fourth Year,First Semester,ELECTIVE
Computer Science + Astronomy,Fourth Year,Second Semester,ELECTIVE
